RM_MS0_R,RM_MS0_M,RM_BSK21_R,RM_BSK21_M,RM_ENG_R,RM_ENG_M,RM_APR_R,RM_APR_M,RM_WFF1_R,RM_WFF1_M,MI_MS0_M,MI_MS0_I,MI_BSK21_M,MI_BSK21_I,MI_ENG_M,MI_ENG_I,MI_APR_M,MI_APR_I,MI_WFF1_M,MI_WFF1_I
200.0,5.933989147569648e-10,200.0,3.371511639802969e-05,200.0,5.872860768608681e-10,200.0,9.424999520206484e-10,200.0,5.720406268853323e-10,2.7688440412967363,4.726327515648909,,,,,,,,
200.0,6.038112225861551e-10,200.0,3.408480480935589e-05,200.0,5.975200060085451e-10,200.0,9.583102369333772e-10,200.0,5.818329747483347e-10,,,,,,,,,,
200.0,6.144062267982741e-10,200.0,3.445857716313461e-05,200.0,6.079322624102792e-10,200.0,9.74385735957869e-10,200.0,5.917929439075469e-10,,,,,,,,,,
200.0,6.251871329518416e-10,200.0,3.483645425275404e-05,200.0,6.185259533710405e-10,200.0,9.907308979831042e-10,200.0,6.019234035724429e-10,,,,,,,,,,
200.0,6.36157202849198e-10,200.0,3.521841199697017e-05,200.0,6.293042403383247e-10,200.0,1.0073502465264344e-09,200.0,6.12227272064611e-10,,,,,,,,,,
200.0,6.473197555231627e-10,200.0,3.560461931665717e-05,200.0,6.40270339847219e-10,200.0,1.0242483809852975e-09,200.0,6.227075176585046e-10,,,,,,,,,,
200.0,6.5867816824049e-10,200.0,3.599504548504391e-05,200.0,6.514275244787688e-10,200.0,1.0414299779102867e-09,200.0,6.333671594369997e-10,,,,,,,,,,
200.0,6.702358775248931e-10,200.0,3.638976660303121e-05,200.0,6.627791238377684e-10,200.0,1.0588997922991434e-09,200.0,6.442092681602774e-10,,,,,,,,,,
200.0,6.819963801953775e-10,200.0,3.6788771168580634e-05,200.0,6.743285255454028e-10,200.0,1.0766626589127473e-09,200.0,6.552369671506977e-10,,,,,,,,,,
200.0,6.939632344253082e-10,200.0,3.719218457640443e-05,200.0,6.860791762506361e-10,200.0,1.0947234936131315e-09,200.0,6.664534331928733e-10,,,,,,,,,,
200.0,7.061400608182077e-10,200.0,3.7600003252803326e-05,200.0,6.980345826589297e-10,200.0,1.1130872947488067e-09,200.0,6.778618974482967e-10,,,,,,,,,,
