II_epsilon_1e-3,time,II_epsilon_5e-4,II_epsilon_1e-4,III_alpha_0.1,III_alpha_0.05,III_alpha_0.01,I
42.24329004125305,279.15915916304033,42.13680809462751,41.9669832029233,42.31176095181373,42.15789687419039,41.970035089228546,41.95179464511303
42.241107691897824,279.5795795834492,42.13440148331041,41.96443736315507,42.309395000732536,42.15542294197505,41.96748614493543,41.949240245325306
42.23892779830949,280.000000003858,42.131998037364184,41.9618951506245,42.30703197661504,42.15295234915871,41.964940835209426,41.94668950169123
42.23675035600972,280.4204204242668,42.12959774901604,41.95935655526204,42.30467187307295,42.15048508721857,41.962399149956155,41.944142404013135
42.23457536049477,280.84084084467565,42.12720061051919,41.95682156702961,42.30231468375711,42.14802114762151,41.95986107911633,41.941598942120535
42.23240280738341,281.2612612650845,42.12480661425528,41.95429017605475,42.299960402428525,42.14556052204792,41.95732661280005,41.939059106006326
42.23023269223182,281.68168168549334,42.12241575249752,41.95176237232951,42.29760902274297,42.14310320207528,41.954795740983,41.93652288552029
42.22806501065312,282.1021021059022,42.1200280176667,41.94923814604597,42.29526053847416,42.140649179404846,41.952268453842336,41.93399027070579
42.225899758239684,282.522522526311,42.11764340214424,41.946717487383815,42.29291494336938,42.13819844572175,41.949744741541195,41.93146125158633
42.223736930558836,282.9429429467198,42.115261898258936,41.94420038649751,42.290572231139905,42.13575099268871,41.94722459421407,41.92893581815332
42.22157652325519,283.36336336712867,42.1128834984747,41.9416868337489,42.28823239561967,42.13330681213187,41.944708002193686,41.926413960604236
42.21941853188754,283.7837837875375,42.11050819515733,41.939176819356774,42.28589543053065,42.1308658957434,41.94219495566181,41.923895668992884
42.21726295208396,284.20420420794636,42.10813598084751,41.9366703337013,42.28356132969965,42.128428235349574,41.939685444952524,41.92138093354421
42.21510977947821,284.6246246283552,42.10576684808045,41.934167367179725,42.28123008696537,42.12599382278886,41.93717946037545,41.91886974451018
42.21295900966704,285.045045048764,42.10340078931641,41.93166791010897,42.27890169611789,42.12356264983725,41.93467699215469,41.916362092081314
42.210810638353536,285.46546546917284,42.10103779719151,41.92917195296655,42.27657615109835,42.121134708459934,41.93217803083298,41.91385796667669
42.208664661163006,285.8858858895817,42.09867786422492,41.92667948610188,42.27425344574412,42.11870999049765,41.92968256681956,41.91135735857421
42.206521073782895,286.30630630999053,42.09632098303964,41.92419050008232,42.27193357398994,42.11628848792402,41.92719059062993,41.90886025820772
42.20437987186553,286.7267267303994,42.093967146279276,41.92170498550926,42.269616529744255,42.11387019274685,41.92470209282116,41.90636665604532
42.20224105098907,287.14714715080817,42.09161634652015,41.91922293289693,42.26730230682406,42.1114550969072,41.92221706388035,41.903876542472716
42.2001046068841,287.567567571217,42.08926857650898,41.91674433297637,42.26499089923056,42.10904319253802,41.919735494517255,41.90138990809547
42.197970535206174,287.98798799162586,42.08692382887478,41.91426917633054,42.26268230086486,42.10663447163033,41.91725737529076,41.898906743339296
42.19583883166214,288.4084084120347,42.08458209636903,41.9117974537021,42.26037650572794,42.104228926286254,41.91478269691309,41.896427038736704
42.19370949196153,288.82882883244355,42.082243371765635,41.909329155856376,42.25807350782727,42.10182654859614,41.91231145011843,41.893950784906245
42.191582511770015,289.24924925285234,42.079907647787685,41.906864273488736,42.25577330111126,42.09942733057682,41.90984362557095,41.89147797245124
42.18945788684272,289.6696696732612,42.07757491732759,41.90440279750845,42.25347587966657,42.097031264500785,41.90737921415094,41.88900859217048
42.18733561284063,290.09009009367,42.075245173148545,41.90194471866372,42.25118123745477,42.09463834250655,41.90491820657868,41.88654263469266
42.185215685503394,290.5105105140789,42.07291840814607,41.899490027881576,42.24888936855005,42.09224855685007,41.902460593757134,41.8840800908312
42.18309810055826,290.9309309344877,42.070594615162605,41.89703871607511,42.24660026700836,42.08986189977671,41.900006366578125,41.881620951388015
42.180982853712784,291.35135135489656,42.06827378698442,41.894590774127934,42.24431392685752,42.08747836351051,41.89755551590673,41.8791652071366
42.1788699407703,291.77177177530535,42.065955916604786,41.89214619311854,42.24203034226048,42.085097940432206,41.89510803280641,41.87671284904288
42.17675935744696,292.1921921957142,42.06364099690148,41.88970496396351,42.2397495072613,42.082720622769834,41.892663908179365,41.8742638679035
42.174651099565345,292.61261261612304,42.06132902089653,41.88726707780291,42.23747141605724,42.08034640293494,41.89022313315278,41.8718182547336
42.172545162870186,293.0330330365319,42.05901998154908,41.88483252570576,42.2351960627871,42.0779752732678,41.887785698781066,41.86937600046969
42.17044154308024,293.45345345694074,42.05671387184993,41.882401298784885,42.232923441606026,42.075607226138125,41.88535159616,41.866937096085955
42.16834023600407,293.8738738773495,42.05441068488747,41.87997338829189,42.23065354670811,42.07324225403299,41.88292081651648,41.864501532692834
42.16624123738481,294.29429429775837,42.05211041362816,41.877548785335286,42.22838637216103,42.07088034931285,41.88049335092687,41.86206930125474
42.16414454307602,294.7147147181672,42.04981305122144,41.875127481263156,42.2261219122458,42.06852150455462,41.87806919069926,41.85964039298505
42.162050148847044,295.13513513857606,42.047518590697656,41.872709467276096,42.223860161139726,42.066165712210136,41.87564832696938,41.85721479895433
42.159958050524764,295.5555555589849,42.04522702518757,41.87029473470104,42.22160111309669,42.063812964849745,41.87323075096792,41.85479251037353
42.15786824393865,295.9759759793937,42.04293834784777,41.86788327485649,42.219344762387486,42.061463255072255,41.870816454026766,41.85237351849298
42.155780724867704,296.39639639980254,42.04065255177947,41.865475078967336,42.2170911032254,42.05911657540823,41.86840542746097,41.84995781449726
42.153695489187186,296.8168168202114,42.03836963025483,41.86307013854048,42.21484012995993,42.0567729185384,41.86599766275435,41.847545389790575
42.15161253267302,297.23723724062023,42.03608957640733,41.86066844492723,42.212591836802325,42.05443227697229,41.8635931512003,41.84513623559977
42.14953185121236,297.6576576610291,42.033812383548245,41.85826998968223,42.21034621811105,42.0520946434128,41.86119188433034,41.842730343377035
42.147453440641875,298.0780780814379,42.03153804491453,41.85587476426343,42.208103268171264,42.04976001050179,41.85879385358359,41.840327704478305
42.14537729682937,298.4984985018467,42.02926655378912,41.85348276019211,42.20586298130816,42.04742837096402,41.856399050460745,41.83792831031833
42.14330341569311,298.91891892225556,42.026997903495705,41.85109396909121,42.203625351918106,42.045099717590745,41.85400746656032,41.835532152376615
42.141231793076216,299.3393393426644,42.02473208723973,41.84870838246385,42.20139037430937,42.04277404305178,41.851619093357534,41.83313922199178
42.13916242489375,299.75975976307325,42.022469098434826,41.846325992047674,42.19915804296026,42.040451340230135,41.849233922562945,41.83074951077326
42.13709530695565,300.1801801834821,42.02020893036127,41.843946789398366,42.196928352213426,42.03813160184709,41.846851945704785,41.82836301016933
42.13503043519609,300.6006006038909,42.01795157647125,41.841570766274344,42.194701296546896,42.03581482079469,41.84447315451638,41.82597971186363
42.13296780551001,301.0210210242997,42.01569703015403,41.839197914362224,42.192476870349935,42.033500989897256,41.84209754066094,41.82359960745543
42.13090741380643,301.4414414447086,42.01344528482045,41.83682822538763,42.19025506800004,42.03119010200912,41.83972509584331,41.821222688564475
42.12884925604345,301.8618618651174,42.01119633396979,41.834461691190334,42.18803588399701,42.028882150081884,41.837355811885786,41.81884894693535
42.12679332809982,302.28228228552626,42.008950170994304,41.832098303480635,42.18581931276688,42.02657712695009,41.834989680482764,41.8164783741868
42.124739625965816,302.70270270593505,42.00670678946822,41.829738054211894,42.18360534887988,42.02427502566139,41.83262669357505,41.81411096217721
42.122688145522545,303.1231231263439,42.004466182811655,41.827380935153926,42.18139398675969,42.021975839100335,41.830266842920025,41.81174670257425
42.12063888275288,303.54354354675274,42.00222834461158,41.82502693829765,42.17918522098479,42.01967956034632,41.82791012049738,41.80938558726285
